# C_logreg train_score train_AUC test_score test_AUC
.1 0.843888888889 0.926711111111 0.825 0.919893
50. 0.983333333333 0.997908641975 0.9225 0.9695515
70. 0.986666666667 0.998665432099 0.921 0.967912
1. 0.905555555556 0.974190123457 0.898 0.964393
10. 0.957222222222 0.992140740741 0.921 0.973051
100. 0.99 0.999381481481 0.922 0.9660135
1000. 1.0 1.0 0.913 0.9577785
10000. 1.0 1.0 0.906 0.9537265
100000. 1.0 1.0 0.905 0.951702
5. 0.943888888889 0.988275308642 0.919 0.972162
20. 0.971666666667 0.99514691358 0.9245 0.972526
